SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
122274,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,0,SO122274,PO656913664,10-4020-004515,4515,11790,35,CARGO TRANSPORT 5,,95.148,7.6118,16.4112,119.171,,B0F831D6-C516-4019-9355-52F800EC7028,2025-11-20 00:00:00.000
122275,1,2025-11-22 00:00:00.000,2025-12-04 00:00:00.000,2025-11-27 00:00:00.000,5,1,SO122275,PO487397735,10-4020-003636,3636,11681,3050,CARGO TRANSPORT 5,,151.686,12.1349,16.2667,180.0876,,972E9979-7395-4729-8F87-953B31A0474F,2025-11-22 00:00:00.000
122276,1,2025-11-23 00:00:00.000,2025-12-05 00:00:00.000,2025-11-28 00:00:00.000,5,0,SO122276,PO604891790,10-4020-002542,2542,915,9492,CARGO TRANSPORT 5,,1249.155,99.9324,10.0758,1359.1632,,6FE287B3-478E-4EF7-9825-511D2B6C57D6,2025-11-23 00:00:00.000
122277,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,0,SO122277,PO861210360,10-4020-007574,7574,8407,2496,CARGO TRANSPORT 5,,1756.188,140.495,25.2832,1921.9662,,53729FBD-7712-438C-A604-099376EB9283,2025-11-27 00:00:00.000
122278,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,0,SO122278,PO507352469,10-4020-008231,8231,10122,2184,XRQ - TRUCK GROUND,,4440.25,355.22,39.8719,4835.3419,,2480C92E-1F18-4CC1-B0A2-303E86CA6B1E,2025-11-29 00:00:00.000
122279,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,0,SO122279,PO957042310,10-4020-001401,1401,2939,11197,OVERNIGHT J-FAST,,651.978,52.1582,15.6093,719.7455,,410530FE-F18A-461C-A6EA-FF25E37869DD,2025-11-29 00:00:00.000
122280,1,2025-11-27 00:00:00.000,2025-12-09 00:00:00.000,2025-12-02 00:00:00.000,5,1,SO122280,PO523855568,10-4020-003690,3690,8205,6444,CARGO TRANSPORT 5,,200.29,16.0232,14.3109,230.6241,,E7065F5F-E38F-4C8B-B708-F74328634050,2025-11-27 00:00:00.000
122281,1,2025-11-23 00:00:00.000,2025-12-05 00:00:00.000,2025-11-28 00:00:00.000,5,1,SO122281,PO141299870,10-4020-007516,7516,7469,6561,CARGO TRANSPORT 5,,273.8185,21.9055,14.7319,310.4559,,692A73F5-3269-4DE4-A7BF-214D6E629CDE,2025-11-23 00:00:00.000
122282,1,2025-11-25 00:00:00.000,2025-12-07 00:00:00.000,2025-11-30 00:00:00.000,5,1,SO122282,PO726301050,10-4020-007223,7223,2412,10434,OVERNIGHT J-FAST,,1442.868,115.4294,38.409,1596.7064,,D0F20421-9CE7-41D9-BDF6-3D97B8FFB25D,2025-11-25 00:00:00.000
122283,1,2025-11-28 00:00:00.000,2025-12-10 00:00:00.000,2025-12-03 00:00:00.000,5,1,SO122283,PO503864139,10-4020-003374,3374,8231,135,OVERNIGHT J-FAST,,873.248,69.8598,18.3419,961.4497,,A8C47901-8EBF-46F9-B8C1-A9DEC68C2779,2025-11-28 00:00:00.000
122284,1,2025-11-21 00:00:00.000,2025-12-03 00:00:00.000,2025-11-26 00:00:00.000,5,0,SO122284,PO768987561,10-4020-008799,8799,9668,9877,OVERNIGHT J-FAST,,4585.654,366.8523,34.7912,4987.2975,,DF1979C9-F95C-48EA-8823-6EC49043B1B5,2025-11-21 00:00:00.000
122285,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,1,SO122285,PO400980026,10-4020-004414,4414,1079,10531,OVERNIGHT J-FAST,,16.659,1.3327,17.7019,35.6936,,77D6A2B1-D896-4F9F-8C6D-F902397F1268,2025-11-20 00:00:00.000
122286,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,1,SO122286,PO253162785,10-4020-004477,4477,1045,5710,XRQ - TRUCK GROUND,,726.794,58.1435,37.9492,822.8867,,AB5AA8DD-56A2-48E7-A9D2-002270EBE09B,2025-11-29 00:00:00.000
122287,1,2025-11-28 00:00:00.000,2025-12-10 00:00:00.000,2025-12-03 00:00:00.000,5,1,SO122287,PO921779824,10-4020-007335,7335,11043,9211,OVERNIGHT J-FAST,,294.204,23.5363,19.1888,336.9291,,0D46DEB9-7047-446B-A350-65ED64638A96,2025-11-28 00:00:00.000
122288,1,2025-11-25 00:00:00.000,2025-12-07 00:00:00.000,2025-11-30 00:00:00.000,5,0,SO122288,PO698778219,10-4020-001361,1361,11745,8356,XRQ - TRUCK GROUND,,764.505,61.1604,14.9094,840.5748,,91BBA098-6221-40A4-A6C6-D1FE82F6E353,2025-11-25 00:00:00.000
122289,1,2025-11-26 00:00:00.000,2025-12-08 00:00:00.000,2025-12-01 00:00:00.000,5,0,SO122289,PO343852460,10-4020-005856,5856,5404,2908,CARGO TRANSPORT 5,,2189.3485,175.1479,28.157,2392.6534,,21DB767A-71C4-41AB-8F0E-FFF7DEF7E79F,2025-11-26 00:00:00.000
122290,1,2025-11-20 00:00:00.000,2025-12-02 00:00:00.000,2025-11-25 00:00:00.000,5,0,SO122290,PO788944551,10-4020-003051,3051,10257,708,CARGO TRANSPORT 5,,2532.8405,202.6272,29.3362,2764.8039,,8430F11D-163B-4718-9DCD-E1FC4773C1ED,2025-11-20 00:00:00.000
122291,1,2025-11-21 00:00:00.000,2025-12-03 00:00:00.000,2025-11-26 00:00:00.000,5,0,SO122291,PO153531544,10-4020-003690,3690,2842,11381,OVERNIGHT J-FAST,,3489.696,279.1757,16.5969,3785.4686,,EFF32BD1-0419-4FEB-923C-495E819B6661,2025-11-21 00:00:00.000
122292,1,2025-11-29 00:00:00.000,2025-12-11 00:00:00.000,2025-12-04 00:00:00.000,5,1,SO122292,PO358707960,10-4020-007454,7454,8224,9044,CARGO TRANSPORT 5,,111.8245,8.946,26.3144,147.0849,,4D9DA506-9B0B-4491-BC1E-C41B288128BA,2025-11-29 00:00:00.000
122293,1,2025-11-24 00:00:00.000,2025-12-06 00:00:00.000,2025-11-29 00:00:00.000,5,1,SO122293,PO222055338,10-4020-003929,3929,10020,783,OVERNIGHT J-FAST,,191.16,15.2928,11.746,218.1988,,8FE3C5D6-3FEE-49F9-83D5-6336A6193BBB,2025-11-24 00:00:00.000
